glacier,cell,sed,Debri,,melt,z
22.5,Cell 36:,80.87,10.38579603,Hydro.36.out,517.6658125,4679.792901
22.5,Cell 37:,11.79,1.526568406,Hydro.37.out,103.9479094,5174.635378
22.5,Cell 38:,5.49,0.534843533,Hydro.38.out,58.60318618,5260.062542
22.5,Cell 42:,0.01,0,Hydro.42.out,0.195280453,5403.260592
22.5,Cell 43:,0.01,0,Hydro.43.out,0.278915113,5214.378471
22.5,Cell 44:,127.38,11.16415087,Hydro.44.out,798.6571845,4418.799601
22.5,Cell 45:,306.97,15.44796232,Hydro.45.out,1627.866972,3828.594186
22.5,Cell 46:,207.5,11.16158384,Hydro.46.out,1279.673327,4093.889574
22.5,Cell 47:,30.89,1.129101798,Hydro.47.out,344.3520588,4971.310535
22.5,Cell 48:,0,0,Hydro.48.out,0.011591826,5633.217405
22.5,Cell 49:,0,0,Hydro.49.out,0.002878613,5717.108109
22.5,Cell 53:,0,0,Hydro.53.out,0.034725341,5676.340709
22.5,Cell 54:,2.61,0.050896872,Hydro.54.out,35.74940965,5308.61467
22.5,Cell 55:,143.6,5.49543184,Hydro.55.out,1008.849079,4382.436719
22.5,Cell 56:,324.88,8.062453428,Hydro.56.out,1847.965564,3855.94317
22.5,Cell 57:,179.25,4.430412237,Hydro.57.out,1283.641856,4332.552992
22.5,Cell 58:,25.44,0,Hydro.58.out,340.7149819,5184.980874
22.5,Cell 59:,3.34,0,Hydro.59.out,57.06250377,5523.104455
22.5,Cell 60:,12.2,0.167894674,Hydro.60.out,162.7833526,5407.66511
22.5,Cell 63:,0,0,Hydro.63.out,0.174865044,5665.073338
22.5,Cell 64:,0,0,Hydro.64.out,0.013673813,5808.681111
22.5,Cell 65:,36.57,0.13759527,Hydro.65.out,402.1478927,5107.543301
22.5,Cell 66:,322.27,4.660933297,Hydro.66.out,1879.977071,4051.483284
22.5,Cell 67:,434.52,4.419457715,Hydro.67.out,2349.691332,3911.563014
22.5,Cell 68:,136.79,1.734862278,Hydro.68.out,1107.394032,4715.746059
22.5,Cell 69:,27.73,0,Hydro.69.out,356.8967935,5313.121619
22.5,Cell 74:,0,0,Hydro.74.out,0.119313726,5825.377307
22.5,Cell 75:,12.36,0.186789792,Hydro.75.out,152.9288858,5550.248577
22.5,Cell 76:,177.81,1.619569261,Hydro.76.out,1249.281032,4616.593189
22.5,Cell 77:,385.34,2.527444222,Hydro.77.out,2148.421255,4127.998981
22.5,Cell 78:,171.78,0.944869196,Hydro.78.out,1278.486568,4672.725186
22.5,Cell 79:,34.15,0,Hydro.79.out,404.7248425,5295.093824
22.5,Cell 85:,11.06,0.872670818,Hydro.85.out,108.6658484,5690.783431
22.5,Cell 86:,92.02,0.558259204,Hydro.86.out,764.6113318,5077.735982
22.5,Cell 87:,243.77,0.675714325,Hydro.87.out,1551.758426,4559.334454
22.5,Cell 88:,164.45,0.516567062,Hydro.88.out,1209.13587,4777.921465
17.5,Cell 13:,827.01,169.2407251,Hydro.13.out,2170.930094,3197.314081
17.5,Cell 14:,613.07,159.6798474,Hydro.14.out,1396.371839,3815.07334
17.5,Cell 22:,37.84,11.34677471,Hydro.22.out,104.0879496,4786.320778
17.5,Cell 23:,289.69,63.96156755,Hydro.23.out,897.1616399,4069.613509
17.5,Cell 24:,358.3,67.23600186,Hydro.24.out,1200.879306,3945.877282
17.5,Cell 25:,169.21,44.13406575,Hydro.25.out,496.8454155,4683.685265
17.5,Cell 26:,15.09,4.999129169,Hydro.26.out,32.46651977,5310.663283
17.5,Cell 32:,0,0,Hydro.32.out,0.003645173,5455.397794
17.5,Cell 33:,34.51,6.450202723,Hydro.33.out,204.0164151,4705.298133
17.5,Cell 34:,223.49,29.71554691,Hydro.34.out,1040.52009,3962.573479
17.5,Cell 35:,202.98,25.70266478,Hydro.35.out,1009.928136,4028.84611
17.5,Cell 36:,64.26,10.30547666,Hydro.36.out,402.6289653,4679.792901
17.5,Cell 37:,9.56,1.528778436,Hydro.37.out,80.84837401,5174.635378
17.5,Cell 38:,4.36,0.535893671,Hydro.38.out,45.58025591,5260.062542
17.5,Cell 42:,0,0,Hydro.42.out,0.151884797,5403.260592
17.5,Cell 43:,0.01,0,Hydro.43.out,0.216933977,5214.378471
17.5,Cell 44:,96.14,10.93987941,Hydro.44.out,621.1778102,4418.799601
17.5,Cell 45:,221.89,14.85462189,Hydro.45.out,1266.118756,3828.594186
17.5,Cell 46:,151.01,10.83247328,Hydro.46.out,995.3014764,4093.889574
17.5,Cell 47:,22.74,1.131518583,Hydro.47.out,267.8293791,4971.310535
17.5,Cell 48:,0,0,Hydro.48.out,0.009015864,5633.217405
17.5,Cell 49:,0,0,Hydro.49.out,0.002238922,5717.108109
17.5,Cell 53:,0,0,Hydro.53.out,0.027008599,5676.340709
17.5,Cell 54:,1.85,0.050827577,Hydro.54.out,27.8050964,5308.61467
17.5,Cell 55:,103.26,5.451342268,Hydro.55.out,784.6603949,4382.436719
17.5,Cell 56:,228.85,7.63803089,Hydro.56.out,1437.30655,3855.94317
17.5,Cell 57:,126.9,4.306297942,Hydro.57.out,998.3881102,4332.552992
17.5,Cell 58:,17.78,0,Hydro.58.out,265.0005415,5184.980874
17.5,Cell 59:,2.3,0,Hydro.59.out,44.38194738,5523.104455
17.5,Cell 60:,8.56,0.157983313,Hydro.60.out,126.6092742,5407.66511
17.5,Cell 63:,0,0,Hydro.63.out,0.136006146,5665.073338
17.5,Cell 64:,0,0,Hydro.64.out,0.010635188,5808.681111
17.5,Cell 65:,25.55,0.184631409,Hydro.65.out,312.7816943,5107.543301
17.5,Cell 66:,224.89,4.522564421,Hydro.66.out,1462.204389,4051.483284
17.5,Cell 67:,301.86,4.353470893,Hydro.67.out,1827.537703,3911.563014
17.5,Cell 68:,95.63,1.744111674,Hydro.68.out,861.3064696,4715.746059
17.5,Cell 69:,19.12,0,Hydro.69.out,277.5863949,5313.121619
17.5,Cell 74:,0,0,Hydro.74.out,0.092799564,5825.377307
17.5,Cell 75:,8.59,0.175489518,Hydro.75.out,118.944689,5550.248577
17.5,Cell 76:,123.56,1.62919254,Hydro.76.out,971.6630249,4616.593189
17.5,Cell 77:,266.54,2.438283067,Hydro.77.out,1670.994309,4127.998981
17.5,Cell 78:,118.92,0.951443917,Hydro.78.out,994.378442,4672.725186
17.5,Cell 79:,23.47,0,Hydro.79.out,314.7859886,5295.093824
17.5,Cell 85:,8.09,0.835267441,Hydro.85.out,84.51788209,5690.783431
17.5,Cell 86:,63.52,0.449871279,Hydro.86.out,594.6977025,5077.735982
17.5,Cell 87:,168.21,0.767472377,Hydro.87.out,1206.92322,4559.334454
17.5,Cell 88:,113.54,0.567264333,Hydro.88.out,940.4390098,4777.921465
12.5,Cell 13:,619.5,152.8626266,Hydro.13.out,1550.664353,3197.314081
12.5,Cell 14:,491.23,147.817017,Hydro.14.out,997.4084563,3815.07334
12.5,Cell 22:,33.8,11.16669013,Hydro.22.out,74.34853542,4786.320778
12.5,Cell 23:,228.39,60.1146571,Hydro.23.out,640.8297428,4069.613509
12.5,Cell 24:,270.16,61.89008528,Hydro.24.out,857.7709331,3945.877282
12.5,Cell 25:,141.93,42.38600573,Hydro.25.out,354.8895825,4683.685265
12.5,Cell 26:,13.73,4.854473051,Hydro.26.out,23.19037126,5310.663283
12.5,Cell 32:,0,0,Hydro.32.out,0.002603695,5455.397794
12.5,Cell 33:,27.31,6.201328133,Hydro.33.out,145.7260108,4705.298133
12.5,Cell 34:,161.4,28.34400478,Hydro.34.out,743.2286357,3962.573479
12.5,Cell 35:,146.09,24.67732223,Hydro.35.out,721.3772403,4028.84611
12.5,Cell 36:,49.76,10.18259516,Hydro.36.out,287.5921181,4679.792901
12.5,Cell 37:,7.7,1.57609669,Hydro.37.out,57.74883858,5174.635378
12.5,Cell 38:,3.38,0.536943809,Hydro.38.out,32.55732565,5260.062542
12.5,Cell 42:,0,0,Hydro.42.out,0.108489141,5403.260592
12.5,Cell 43:,0,0,Hydro.43.out,0.154952841,5214.378471
12.5,Cell 44:,69.28,10.89895308,Hydro.44.out,443.6984359,4418.799601
12.5,Cell 45:,148.32,14.45044378,Hydro.45.out,904.3705398,3828.594186
12.5,Cell 46:,101.81,10.38189528,Hydro.46.out,710.929626,4093.889574
12.5,Cell 47:,15.61,1.089777208,Hydro.47.out,191.3066994,4971.310535
12.5,Cell 48:,0,0,Hydro.48.out,0.006439903,5633.217405
12.5,Cell 49:,0,0,Hydro.49.out,0.00159923,5717.108109
12.5,Cell 53:,0,0,Hydro.53.out,0.019291856,5676.340709
12.5,Cell 54:,1.2,0.050758283,Hydro.54.out,19.86078314,5308.61467
12.5,Cell 55:,68.18,5.321614717,Hydro.55.out,560.4717106,4382.436719
12.5,Cell 56:,145.95,7.442609481,Hydro.56.out,1026.647536,3855.94317
12.5,Cell 57:,81.81,4.36268839,Hydro.57.out,713.1343644,4332.552992
12.5,Cell 58:,11.14,0,Hydro.58.out,189.2861011,5184.980874
12.5,Cell 59:,1.39,0,Hydro.59.out,31.70139098,5523.104455
12.5,Cell 60:,5.33,0.105015532,Hydro.60.out,90.43519588,5407.66511
12.5,Cell 63:,0,0,Hydro.63.out,0.097147247,5665.073338
12.5,Cell 64:,0,0,Hydro.64.out,0.007596563,5808.681111
12.5,Cell 65:,15.96,0.186966043,Hydro.65.out,223.415496,5107.543301
12.5,Cell 66:,140.54,4.386113263,Hydro.66.out,1044.431706,4051.483284
12.5,Cell 67:,186.8,4.156188885,Hydro.67.out,1305.384073,3911.563014
12.5,Cell 68:,60,1.753676091,Hydro.68.out,615.2189069,4715.746059
12.5,Cell 69:,11.66,0,Hydro.69.out,198.2759964,5313.121619
12.5,Cell 74:,0,0,Hydro.74.out,0.066285403,5825.377307
12.5,Cell 75:,5.33,0.164189245,Hydro.75.out,84.96049213,5550.248577
12.5,Cell 76:,76.6,1.638815819,Hydro.76.out,694.0450178,4616.593189
12.5,Cell 77:,163.81,2.438528156,Hydro.77.out,1193.567364,4127.998981
12.5,Cell 78:,73.31,1.048379397,Hydro.78.out,710.2703157,4672.725186
12.5,Cell 79:,14.23,0,Hydro.79.out,224.8471347,5295.093824
12.5,Cell 85:,5.45,0.755330835,Hydro.85.out,60.36991578,5690.783431
12.5,Cell 86:,38.95,0.433171946,Hydro.86.out,424.7840732,5077.735982
12.5,Cell 87:,102.69,0.770792659,Hydro.87.out,862.0880146,4559.334454
12.5,Cell 88:,69.4,0.57320402,Hydro.88.out,671.7421499,4777.921465
7.5,Cell 13:,446.68,138.2485142,Hydro.13.out,930.3986118,3197.314081
7.5,Cell 14:,389.22,137.2983228,Hydro.14.out,598.4450738,3815.07334
7.5,Cell 22:,30.27,10.90273384,Hydro.22.out,44.60912125,4786.320778
7.5,Cell 23:,178.21,57.20223099,Hydro.23.out,384.4978457,4069.613509
7.5,Cell 24:,197.82,57.65136641,Hydro.24.out,514.6625599,3945.877282
7.5,Cell 25:,118.75,40.54617818,Hydro.25.out,212.9337495,4683.685265
7.5,Cell 26:,12.63,4.755893464,Hydro.26.out,13.91422276,5310.663283
7.5,Cell 32:,0,0,Hydro.32.out,0.001562217,5455.397794
7.5,Cell 33:,21.59,6.13915161,Hydro.33.out,87.43560647,4705.298133
7.5,Cell 34:,110.07,26.9200757,Hydro.34.out,445.9371814,3962.573479
7.5,Cell 35:,99.27,23.68298973,Hydro.35.out,432.8263442,4028.84611
7.5,Cell 36:,37.78,10.0168271,Hydro.36.out,172.5552708,4679.792901
7.5,Cell 37:,6.12,1.579037753,Hydro.37.out,34.64930315,5174.635378
7.5,Cell 38:,2.51,0.494610668,Hydro.38.out,19.53439539,5260.062542
7.5,Cell 42:,0,0,Hydro.42.out,0.065093484,5403.260592
7.5,Cell 43:,0,0,Hydro.43.out,0.092971704,5214.378471
7.5,Cell 44:,46.98,10.64248005,Hydro.44.out,266.2190615,4418.799601
7.5,Cell 45:,87.84,13.87926302,Hydro.45.out,542.6223239,3828.594186
7.5,Cell 46:,61.71,10.07556778,Hydro.46.out,426.5577756,4093.889574
7.5,Cell 47:,9.77,1.048847274,Hydro.47.out,114.7840196,4971.310535
7.5,Cell 48:,0,0,Hydro.48.out,0.003863942,5633.217405
7.5,Cell 49:,0,0,Hydro.49.out,0.000959538,5717.108109
7.5,Cell 53:,0,0,Hydro.53.out,0.011575114,5676.340709
7.5,Cell 54:,0.66,0.050688989,Hydro.54.out,11.91646988,5308.61467
7.5,Cell 55:,39.52,5.195223458,Hydro.55.out,336.2830264,4382.436719
7.5,Cell 56:,78.32,7.294372396,Hydro.56.out,615.9885214,3855.94317
7.5,Cell 57:,45.04,4.420405693,Hydro.57.out,427.8806186,4332.552992
7.5,Cell 58:,5.73,0,Hydro.58.out,113.5716606,5184.980874
7.5,Cell 59:,0.65,0,Hydro.59.out,19.02083459,5523.104455
